DATES,NSEBANK 11/26/20 P29500 INDEX
2020-11-09,2067.35
2020-11-10,1339.65
2020-11-11,1200.6
2020-11-12,1449.4
2020-11-13,1256.15
2020-11-14,1172.1
2020-11-17,744.9
2020-11-18,421.15
2020-11-19,824.1
2020-11-20,574.1
2020-11-23,692.55
2020-11-24,222.25
2020-11-25,405.2
2020-11-26,29549.75
