DATES,CBK=X0 IS EQUITY
2020-10-27,86.95
2020-10-28,85.95
2020-10-29,85.0
2020-10-30,84.3
2020-11-02,86.95
2020-11-03,88.3
2020-11-04,89.25
2020-11-05,91.45
2020-11-06,92.1
2020-11-09,93.05
2020-11-10,96.6
2020-11-11,94.65
2020-11-12,91.85
2020-11-13,91.55
2020-11-14,91.85
2020-11-17,92.35
2020-11-18,94.3
2020-11-19,93.0
2020-11-20,93.05
2020-11-23,93.2
2020-11-24,93.45
2020-11-25,96.55
2020-11-26,100.0
