DATES,LPC=X0 IS EQUITY
2020-10-27,960.6
2020-10-28,946.55
2020-10-29,928.45
2020-10-30,912.4
2020-11-02,916.65
2020-11-03,938.55
2020-11-04,946.75
2020-11-05,941.0
2020-11-06,919.6
2020-11-09,922.0
2020-11-10,862.85
2020-11-11,912.15
2020-11-12,899.3
2020-11-13,905.35
2020-11-14,907.65
2020-11-17,890.65
2020-11-18,887.05
2020-11-19,887.55
2020-11-20,880.8
2020-11-23,886.85
2020-11-24,896.35
2020-11-25,893.85
2020-11-26,899.55
