DATES,IIB IS 11/26/20 P840 EQUITY
2020-11-06,118.7
2020-11-09,89.7
2020-11-10,49.75
2020-11-11,74.0
2020-11-12,86.05
2020-11-13,86.45
2020-11-14,81.0
2020-11-17,70.45
2020-11-18,40.55
2020-11-19,44.3
2020-11-20,43.45
2020-11-23,18.85
2020-11-24,11.55
2020-11-25,6.65
2020-11-26,850.55
