DATES,HDFCB IS 11/26/20 C1380 EQUITY
2020-10-27,6.65
2020-10-28,5.05
2020-10-29,3.8
2020-10-30,3.1
2020-11-02,4.6
2020-11-03,6.25
2020-11-04,6.1
2020-11-05,4.45
2020-11-06,8.55
2020-11-09,15.6
2020-11-10,42.15
2020-11-11,39.3
2020-11-12,29.45
2020-11-13,21.95
2020-11-14,24.2
2020-11-17,40.5
2020-11-18,42.3
2020-11-19,21.7
2020-11-20,32.75
2020-11-23,24.8
2020-11-24,56.95
2020-11-25,27.1
2020-11-26,1426.65
