DATES,HDFCB=X0 IS EQUITY
2020-10-27,1232.15
2020-10-28,1207.1
2020-10-29,1190.1
2020-10-30,1186.55
2020-11-02,1218.1
2020-11-03,1246.85
2020-11-04,1257.05
2020-11-05,1269.25
2020-11-06,1303.0
2020-11-09,1336.0
2020-11-10,1392.4
2020-11-11,1388.3
2020-11-12,1373.2
2020-11-13,1363.5
2020-11-14,1372.2
2020-11-17,1405.55
2020-11-18,1410.45
2020-11-19,1376.9
2020-11-20,1403.25
2020-11-23,1394.0
2020-11-24,1435.2
2020-11-25,1406.55
2020-11-26,1426.65
