DATES,BAF=X0 IS EQUITY
2020-10-27,3455.95
2020-10-28,3357.5
2020-10-29,3372.3
2020-10-30,3299.55
2020-11-02,3419.6
2020-11-03,3491.5
2020-11-04,3553.65
2020-11-05,3736.15
2020-11-06,3762.65
2020-11-09,3847.2
2020-11-10,4191.6
2020-11-11,4234.9
2020-11-12,4278.1
2020-11-13,4359.3
2020-11-14,4346.85
2020-11-17,4463.6
2020-11-18,4654.9
2020-11-19,4537.0
2020-11-20,4710.0
2020-11-23,4777.85
2020-11-24,4775.65
2020-11-25,4686.75
2020-11-26,4821.35
