DATES,HDFC=X0 IS EQUITY
2020-10-27,2050.6
2020-10-28,1977.4
2020-10-29,1941.4
2020-10-30,1926.9
2020-11-02,2046.4
2020-11-03,2132.5
2020-11-04,2096.95
2020-11-05,2111.1
2020-11-06,2144.05
2020-11-09,2159.2
2020-11-10,2281.25
2020-11-11,2325.7
2020-11-12,2333.45
2020-11-13,2315.9
2020-11-14,2317.4
2020-11-17,2353.8
2020-11-18,2370.8
2020-11-19,2326.55
2020-11-20,2337.65
2020-11-23,2256.8
2020-11-24,2224.55
2020-11-25,2191.0
2020-11-26,2238.4
