DATES,KMB IS 11/26/20 P1840 EQUITY
2020-10-28,291.15
2020-10-29,273.25
2020-10-30,293.9
2020-11-02,262.5
2020-11-03,250.4
2020-11-04,217.5
2020-11-05,179.7
2020-11-06,146.2
2020-11-09,134.6
2020-11-10,115.55
2020-11-11,79.9
2020-11-12,111.0
2020-11-13,103.25
2020-11-14,96.35
2020-11-17,64.0
2020-11-18,42.75
2020-11-19,46.15
2020-11-20,17.1
2020-11-23,10.8
2020-11-24,3.45
2020-11-25,5.05
2020-11-26,1889.1
