DATES,SBILI=X0 IS EQUITY
2020-10-27,777.55
2020-10-28,772.05
2020-10-29,763.65
2020-10-30,770.1
2020-11-02,769.55
2020-11-03,789.75
2020-11-04,792.95
2020-11-05,807.45
2020-11-06,801.4
2020-11-09,809.9
2020-11-10,831.7
2020-11-11,842.95
2020-11-12,839.9
2020-11-13,835.5
2020-11-14,838.25
2020-11-17,865.0
2020-11-18,858.35
2020-11-19,846.7
2020-11-20,847.5
2020-11-23,833.5
2020-11-24,840.15
2020-11-25,848.55
2020-11-26,851.5
