DATES,GRASI=X0 IS EQUITY
2020-10-27,781.35
2020-10-28,778.15
2020-10-29,772.5
2020-10-30,779.55
2020-11-02,790.4
2020-11-03,794.5
2020-11-04,786.4
2020-11-05,807.95
2020-11-06,797.15
2020-11-09,795.9
2020-11-10,793.1
2020-11-11,807.05
2020-11-12,830.05
2020-11-13,843.15
2020-11-14,842.2
2020-11-17,846.05
2020-11-18,851.1
2020-11-19,839.2
2020-11-20,855.4
2020-11-23,855.35
2020-11-24,853.75
2020-11-25,842.7
2020-11-26,877.4
