DATES,HDFCB IS 11/26/20 C1180  EQUITY
2020-10-27,75.2
2020-10-28,59.7
2020-10-29,47.95
2020-10-30,45.2
2020-11-02,65.0
2020-11-03,85.4
2020-11-04,90.75
2020-11-05,101.6
2020-11-06,128.5
2020-11-09,160.8
2020-11-10,212.8
2020-11-11,212.25
2020-11-12,193.95
2020-11-13,180.95
2020-11-14,191.55
2020-11-17,229.7
2020-11-18,229.8
2020-11-19,195.3
2020-11-20,224.45
2020-11-23,213.25
2020-11-24,255.9
2020-11-25,222.95
2020-11-26,1426.65
