DATES,ADE=X0 IS EQUITY
2020-10-27,315.4
2020-10-28,319.95
2020-10-29,330.55
2020-10-30,340.0
2020-11-02,342.55
2020-11-03,346.3
2020-11-04,353.05
2020-11-05,354.9
2020-11-06,353.5
2020-11-09,359.05
2020-11-10,361.0
2020-11-11,361.75
2020-11-12,366.75
2020-11-13,369.7
2020-11-14,371.65
2020-11-17,394.95
2020-11-18,394.95
2020-11-19,385.65
2020-11-20,389.15
2020-11-23,407.65
2020-11-24,407.0
2020-11-25,400.8
2020-11-26,401.95
