DATES,ICICI=X0 IS EQUITY
2020-10-27,410.75
2020-10-28,398.0
2020-10-29,400.35
2020-10-30,393.85
2020-11-02,419.25
2020-11-03,444.65
2020-11-04,438.7
2020-11-05,440.35
2020-11-06,443.95
2020-11-09,463.5
2020-11-10,485.8
2020-11-11,487.85
2020-11-12,478.65
2020-11-13,485.95
2020-11-14,486.75
2020-11-17,486.95
2020-11-18,498.9
2020-11-19,479.8
2020-11-20,481.25
2020-11-23,469.35
2020-11-24,479.5
2020-11-25,472.95
2020-11-26,475.3
