DATES,DLFU=X0 IS EQUITY
2020-10-27,165.7
2020-10-28,156.8
2020-10-29,153.8
2020-10-30,158.8
2020-11-02,165.25
2020-11-03,163.75
2020-11-04,163.65
2020-11-05,166.5
2020-11-06,168.0
2020-11-09,173.0
2020-11-10,181.3
2020-11-11,183.05
2020-11-12,183.45
2020-11-13,185.4
2020-11-14,184.9
2020-11-17,188.4
2020-11-18,191.1
2020-11-19,184.95
2020-11-20,182.35
2020-11-23,188.45
2020-11-24,190.05
2020-11-25,182.9
2020-11-26,184.45
