DATES,IIB IS 11/26/20 C840 EQUITY
2020-11-06,10.45
2020-11-09,16.4
2020-11-10,45.45
2020-11-11,27.0
2020-11-12,19.7
2020-11-13,16.7
2020-11-14,15.35
2020-11-17,15.85
2020-11-18,27.85
2020-11-19,21.15
2020-11-20,15.5
2020-11-23,26.95
2020-11-24,23.15
2020-11-25,18.2
2020-11-26,850.55
