DATES,ICICI IS 11/26/20 C400 EQUITY
2020-10-27,28.15
2020-10-28,21.15
2020-10-29,22.35
2020-10-30,17.75
2020-11-02,30.0
2020-11-03,51.0
2020-11-04,43.3
2020-11-05,44.45
2020-11-06,47.45
2020-11-09,64.85
2020-11-10,87.0
2020-11-11,89.35
2020-11-12,79.95
2020-11-13,86.55
2020-11-14,86.45
2020-11-17,87.05
2020-11-18,98.4
2020-11-19,80.45
2020-11-20,82.75
2020-11-23,69.35
2020-11-24,79.4
2020-11-25,73.2
2020-11-26,475.3
