DATES,INFO=X0 IS EQUITY
2020-10-27,1094.0
2020-10-28,1081.3
2020-10-29,1078.2
2020-10-30,1061.8
2020-11-02,1072.9
2020-11-03,1066.85
2020-11-04,1095.5
2020-11-05,1109.35
2020-11-06,1117.9
2020-11-09,1137.5
2020-11-10,1095.55
2020-11-11,1123.5
2020-11-12,1119.1
2020-11-13,1128.0
2020-11-14,1134.65
2020-11-17,1127.65
2020-11-18,1114.9
2020-11-19,1100.65
2020-11-20,1106.8
2020-11-23,1141.95
2020-11-24,1142.45
2020-11-25,1116.55
2020-11-26,1113.2
