DATES,APHS=X0 IS EQUITY
2020-10-27,2123.6
2020-10-28,2084.0
2020-10-29,2091.7
2020-10-30,2118.25
2020-11-02,2076.6
2020-11-03,2115.75
2020-11-04,2109.7
2020-11-05,2131.5
2020-11-06,2092.3
2020-11-09,2091.8
2020-11-10,2042.15
2020-11-11,2190.75
2020-11-12,2107.9
2020-11-13,2273.6
2020-11-14,2284.65
2020-11-17,2306.1
2020-11-18,2294.65
2020-11-19,2302.3
2020-11-20,2347.5
2020-11-23,2371.55
2020-11-24,2307.45
2020-11-25,2245.9
2020-11-26,2304.15
