DATES,JSTL=X0 IS EQUITY
2020-10-27,309.75
2020-10-28,306.85
2020-10-29,307.85
2020-10-30,309.25
2020-11-02,310.1
2020-11-03,315.2
2020-11-04,318.05
2020-11-05,329.1
2020-11-06,326.45
2020-11-09,334.3
2020-11-10,335.95
2020-11-11,343.15
2020-11-12,339.15
2020-11-13,344.3
2020-11-14,342.05
2020-11-17,341.75
2020-11-18,343.45
2020-11-19,332.2
2020-11-20,336.65
2020-11-23,338.4
2020-11-24,340.85
2020-11-25,337.55
2020-11-26,359.2
