DATES,TTMT=X0 IS EQUITY
2020-10-27,136.35
2020-10-28,135.05
2020-10-29,132.1
2020-10-30,133.2
2020-11-02,133.4
2020-11-03,134.75
2020-11-04,136.55
2020-11-05,138.4
2020-11-06,139.5
2020-11-09,141.7
2020-11-10,146.65
2020-11-11,151.65
2020-11-12,151.85
2020-11-13,146.7
2020-11-14,149.1
2020-11-17,158.25
2020-11-18,174.15
2020-11-19,168.2
2020-11-20,169.45
2020-11-23,170.95
2020-11-24,172.15
2020-11-25,170.75
2020-11-26,173.75
