DATES,HDFCB IS 11/26/20 P1180  EQUITY
2020-10-27,25.85
2020-10-28,32.7
2020-10-29,38.05
2020-10-30,38.55
2020-11-02,27.25
2020-11-03,18.75
2020-11-04,14.0
2020-11-05,8.25
2020-11-06,5.6
2020-11-09,3.6
2020-11-10,3.25
2020-11-11,3.5
2020-11-12,3.05
2020-11-13,2.75
2020-11-14,1.95
2020-11-17,1.35
2020-11-18,1.05
2020-11-19,1.35
2020-11-20,0.95
2020-11-23,0.6
2020-11-24,0.35
2020-11-25,0.15
2020-11-26,1426.65
