DATES,KMB=X0 IS EQUITY
2020-10-27,1577.95
2020-10-28,1546.0
2020-10-29,1563.6
2020-10-30,1541.45
2020-11-02,1576.85
2020-11-03,1589.35
2020-11-04,1623.75
2020-11-05,1667.6
2020-11-06,1708.3
2020-11-09,1721.2
2020-11-10,1749.75
2020-11-11,1796.6
2020-11-12,1756.3
2020-11-13,1764.2
2020-11-14,1768.75
2020-11-17,1791.6
2020-11-18,1824.6
2020-11-19,1816.65
2020-11-20,1882.4
2020-11-23,1888.45
2020-11-24,1915.65
2020-11-25,1863.95
2020-11-26,1889.1
