DATES,IIB IS 11/26/20 P580 EQUITY
2020-10-27,27.25
2020-10-28,37.45
2020-10-29,35.65
2020-10-30,36.5
2020-11-02,17.7
2020-11-03,13.25
2020-11-04,8.75
2020-11-05,5.8
2020-11-06,4.8
2020-11-09,3.6
2020-11-10,3.05
2020-11-11,3.15
2020-11-12,2.85
2020-11-13,2.35
2020-11-14,2.1
2020-11-17,1.4
2020-11-18,1.05
2020-11-19,0.85
2020-11-20,0.55
2020-11-23,0.25
2020-11-24,0.05
2020-11-25,0.05
2020-11-26,850.55
