DATES,NSEBANK 11/26/20 P24100 INDEX
2020-10-27,753.7
2020-10-28,974.25
2020-10-29,1030.65
2020-10-30,1091.75
2020-11-02,679.9
2020-11-03,418.5
2020-11-04,317.6
2020-11-05,162.45
2020-11-06,116.75
2020-11-09,62.2
2020-11-10,65.6
2020-11-11,45.65
2020-11-12,24.5
2020-11-13,12.8
2020-11-14,11.95
2020-11-17,14.0
2020-11-18,7.65
2020-11-19,4.35
2020-11-20,3.4
2020-11-23,4.2
2020-11-24,1.85
2020-11-25,0.8
2020-11-26,29549.75
