DATES,IDEA=X0 IS EQUITY
2020-10-27,8.95
2020-10-28,8.8
2020-10-29,8.4
2020-10-30,8.85
2020-11-02,8.8
2020-11-03,8.6
2020-11-04,8.45
2020-11-05,8.55
2020-11-06,8.65
2020-11-09,8.75
2020-11-10,8.6
2020-11-11,8.55
2020-11-12,8.6
2020-11-13,8.8
2020-11-14,9.2
2020-11-17,9.3
2020-11-18,9.25
2020-11-19,9.25
2020-11-20,10.0
2020-11-23,10.35
2020-11-24,10.3
2020-11-25,9.75
2020-11-26,9.95
