DATES,BRIT=X0 IS EQUITY
2020-10-27,3580.45
2020-10-28,3550.7
2020-10-29,3541.5
2020-10-30,3482.15
2020-11-02,3435.5
2020-11-03,3418.3
2020-11-04,3487.2
2020-11-05,3516.0
2020-11-06,3523.25
2020-11-09,3563.1
2020-11-10,3516.45
2020-11-11,3504.5
2020-11-12,3520.3
2020-11-13,3524.85
2020-11-14,3525.5
2020-11-17,3522.3
2020-11-18,3500.9
2020-11-19,3513.85
2020-11-20,3554.2
2020-11-23,3552.35
2020-11-24,3555.65
2020-11-25,3550.05
2020-11-26,3548.75
