DATES,HPCL=X0 IS EQUITY
2020-10-27,174.35
2020-10-28,172.55
2020-10-29,180.1
2020-10-30,187.4
2020-11-02,187.55
2020-11-03,185.85
2020-11-04,187.0
2020-11-05,205.35
2020-11-06,205.35
2020-11-09,208.1
2020-11-10,212.7
2020-11-11,214.9
2020-11-12,214.05
2020-11-13,215.6
2020-11-14,220.55
2020-11-17,217.85
2020-11-18,214.05
2020-11-19,213.9
2020-11-20,214.2
2020-11-23,215.95
2020-11-24,214.95
2020-11-25,212.2
2020-11-26,213.15
