DATES,ARBP=X0 IS EQUITY
2020-10-27,797.1
2020-10-28,777.8
2020-10-29,768.6
2020-10-30,774.55
2020-11-02,762.8
2020-11-03,770.95
2020-11-04,781.8
2020-11-05,792.9
2020-11-06,781.3
2020-11-09,788.95
2020-11-10,760.45
2020-11-11,812.6
2020-11-12,840.65
2020-11-13,858.9
2020-11-14,853.25
2020-11-17,855.35
2020-11-18,836.9
2020-11-19,829.0
2020-11-20,832.05
2020-11-23,847.7
2020-11-24,880.3
2020-11-25,852.8
2020-11-26,870.7
