DATES,DIVI=X0 IS EQUITY
2020-10-27,3164.05
2020-10-28,3133.7
2020-10-29,3116.9
2020-10-30,3141.8
2020-11-02,3062.3
2020-11-03,3095.7
2020-11-04,3202.25
2020-11-05,3225.7
2020-11-06,3242.95
2020-11-09,3429.65
2020-11-10,3278.35
2020-11-11,3355.45
2020-11-12,3378.7
2020-11-13,3434.85
2020-11-14,3439.5
2020-11-17,3428.1
2020-11-18,3454.0
2020-11-19,3443.55
2020-11-20,3470.55
2020-11-23,3546.75
2020-11-24,3535.35
2020-11-25,3475.2
2020-11-26,3544.35
