DATES,GMRI=X0 IS EQUITY
2020-10-27,24.25
2020-10-28,23.8
2020-10-29,23.35
2020-10-30,23.55
2020-11-02,23.45
2020-11-03,23.3
2020-11-04,23.15
2020-11-05,24.2
2020-11-06,24.15
2020-11-09,24.3
2020-11-10,24.8
2020-11-11,24.65
2020-11-12,24.55
2020-11-13,24.7
2020-11-14,24.5
2020-11-17,24.45
2020-11-18,25.65
2020-11-19,25.15
2020-11-20,25.2
2020-11-23,26.45
2020-11-24,25.6
2020-11-25,25.55
2020-11-26,25.85
