DATES,MM=X0 IS EQUITY
2020-10-27,598.5
2020-10-28,604.75
2020-10-29,593.8
2020-10-30,594.65
2020-11-02,596.6
2020-11-03,598.0
2020-11-04,599.8
2020-11-05,604.95
2020-11-06,615.55
2020-11-09,618.85
2020-11-10,622.45
2020-11-11,635.4
2020-11-12,635.0
2020-11-13,632.5
2020-11-14,633.15
2020-11-17,639.15
2020-11-18,706.25
2020-11-19,704.4
2020-11-20,716.05
2020-11-23,706.95
2020-11-24,727.6
2020-11-25,718.75
2020-11-26,728.5
