DATES,SBIN IS 11/26/20 P250 EQUITY
2020-10-27,54.7
2020-10-28,59.35
2020-10-29,60.6
2020-10-30,60.05
2020-11-02,53.4
2020-11-03,44.95
2020-11-04,42.75
2020-11-05,31.6
2020-11-06,31.4
2020-11-09,30.85
2020-11-10,20.7
2020-11-11,18.55
2020-11-12,24.25
2020-11-13,21.45
2020-11-14,21.4
2020-11-17,12.8
2020-11-18,6.05
2020-11-19,12.65
2020-11-20,10.15
2020-11-23,12.6
2020-11-24,7.7
2020-11-25,7.7
2020-11-26,245.45
