DATES,IHFL=X0 IS EQUITY
2020-10-27,148.3
2020-10-28,143.65
2020-10-29,140.6
2020-10-30,140.55
2020-11-02,141.0
2020-11-03,142.75
2020-11-04,141.75
2020-11-05,145.4
2020-11-06,152.9
2020-11-09,153.95
2020-11-10,158.45
2020-11-11,159.65
2020-11-12,171.9
2020-11-13,182.4
2020-11-14,184.8
2020-11-17,181.25
2020-11-18,181.65
2020-11-19,176.5
2020-11-20,175.2
2020-11-23,178.0
2020-11-24,181.2
2020-11-25,185.25
2020-11-26,185.7
