DATES,BOB=X0 IS EQUITY
2020-10-27,42.95
2020-10-28,42.15
2020-10-29,43.0
2020-10-30,41.8
2020-11-02,45.0
2020-11-03,45.3
2020-11-04,45.25
2020-11-05,45.95
2020-11-06,46.05
2020-11-09,46.9
2020-11-10,48.45
2020-11-11,47.4
2020-11-12,45.85
2020-11-13,46.75
2020-11-14,46.75
2020-11-17,47.75
2020-11-18,49.7
2020-11-19,47.95
2020-11-20,47.8
2020-11-23,46.95
2020-11-24,47.0
2020-11-25,49.05
2020-11-26,51.15
