DATES,ITC=X0 IS EQUITY
2020-10-27,167.45
2020-10-28,165.9
2020-10-29,164.15
2020-10-30,165.55
2020-11-02,167.0
2020-11-03,170.35
2020-11-04,170.4
2020-11-05,175.3
2020-11-06,174.4
2020-11-09,173.15
2020-11-10,179.2
2020-11-11,185.4
2020-11-12,188.15
2020-11-13,187.3
2020-11-14,188.2
2020-11-17,187.55
2020-11-18,184.7
2020-11-19,187.95
2020-11-20,191.75
2020-11-23,191.25
2020-11-24,195.35
2020-11-25,193.65
2020-11-26,194.8
