DATES,HDFCB IS 11/26/20 P1380 EQUITY
2020-10-27,150.55
2020-10-28,172.4
2020-10-29,191.4
2020-10-30,194.7
2020-11-02,164.8
2020-11-03,135.4
2020-11-04,126.85
2020-11-05,116.4
2020-11-06,82.95
2020-11-09,57.6
2020-11-10,30.35
2020-11-11,31.5
2020-11-12,36.55
2020-11-13,38.4
2020-11-14,32.2
2020-11-17,15.6
2020-11-18,11.8
2020-11-19,24.5
2020-11-20,9.75
2020-11-23,10.95
2020-11-24,2.2
2020-11-25,2.2
2020-11-26,1426.65
