DATES,PWGR=X0 IS EQUITY
2020-10-27,172.2
2020-10-28,172.1
2020-10-29,171.15
2020-10-30,170.6
2020-11-02,172.95
2020-11-03,178.3
2020-11-04,175.45
2020-11-05,178.45
2020-11-06,178.0
2020-11-09,182.5
2020-11-10,185.8
2020-11-11,189.3
2020-11-12,188.95
2020-11-13,189.25
2020-11-14,187.95
2020-11-17,187.3
2020-11-18,186.0
2020-11-19,190.15
2020-11-20,191.35
2020-11-23,194.7
2020-11-24,194.7
2020-11-25,195.2
2020-11-26,197.65
