DATES,ONGC=X0 IS EQUITY
2020-10-27,67.05
2020-10-28,66.55
2020-10-29,64.6
2020-10-30,65.1
2020-11-02,65.9
2020-11-03,66.4
2020-11-04,66.5
2020-11-05,67.75
2020-11-06,68.05
2020-11-09,68.75
2020-11-10,71.1
2020-11-11,72.6
2020-11-12,71.9
2020-11-13,72.3
2020-11-14,72.8
2020-11-17,71.55
2020-11-18,72.1
2020-11-19,72.2
2020-11-20,71.7
2020-11-23,76.65
2020-11-24,76.35
2020-11-25,80.9
2020-11-26,80.2
