DATES,Z=X0 IS EQUITY
2020-10-27,187.9
2020-10-28,182.0
2020-10-29,179.7
2020-10-30,188.25
2020-11-02,183.45
2020-11-03,182.9
2020-11-04,182.75
2020-11-05,191.5
2020-11-06,193.7
2020-11-09,191.7
2020-11-10,193.35
2020-11-11,195.7
2020-11-12,199.1
2020-11-13,193.4
2020-11-14,193.55
2020-11-17,190.4
2020-11-18,191.3
2020-11-19,186.95
2020-11-20,185.95
2020-11-23,187.55
2020-11-24,188.6
2020-11-25,188.95
2020-11-26,189.75
