DATES,COAL=X0 IS EQUITY
2020-10-27,114.05
2020-10-28,112.9
2020-10-29,111.05
2020-10-30,114.45
2020-11-02,115.9
2020-11-03,116.3
2020-11-04,114.95
2020-11-05,119.9
2020-11-06,120.9
2020-11-09,121.1
2020-11-10,124.35
2020-11-11,125.4
2020-11-12,122.4
2020-11-13,126.3
2020-11-14,127.15
2020-11-17,128.85
2020-11-18,128.3
2020-11-19,122.4
2020-11-20,121.5
2020-11-23,123.05
2020-11-24,123.65
2020-11-25,124.25
2020-11-26,125.05
