DATES,IIB=X0 IS EQUITY
2020-10-27,615.5
2020-10-28,593.9
2020-10-29,590.9
2020-10-30,586.75
2020-11-02,630.85
2020-11-03,648.0
2020-11-04,679.1
2020-11-05,716.95
2020-11-06,738.85
2020-11-09,775.9
2020-11-10,835.55
2020-11-11,791.8
2020-11-12,772.25
2020-11-13,771.45
2020-11-14,770.4
2020-11-17,785.6
2020-11-18,828.55
2020-11-19,816.7
2020-11-20,812.35
2020-11-23,848.35
2020-11-24,851.9
2020-11-25,853.05
2020-11-26,850.55
