DATES,HMCL=X0 IS EQUITY
2020-10-27,2925.6
2020-10-28,2949.25
2020-10-29,2899.05
2020-10-30,2809.0
2020-11-02,2840.1
2020-11-03,2934.05
2020-11-04,2963.2
2020-11-05,2951.35
2020-11-06,2949.6
2020-11-09,2965.45
2020-11-10,2952.7
2020-11-11,3057.6
2020-11-12,3084.15
2020-11-13,3119.3
2020-11-14,3101.4
2020-11-17,3016.45
2020-11-18,2987.9
2020-11-19,2995.85
2020-11-20,2999.0
2020-11-23,3063.1
2020-11-24,3062.75
2020-11-25,3006.65
2020-11-26,3024.55
