DATES,VEDL=X0 IS EQUITY
2020-10-27,103.8
2020-10-28,95.9
2020-10-29,95.85
2020-10-30,96.05
2020-11-02,95.15
2020-11-03,95.35
2020-11-04,92.5
2020-11-05,94.8
2020-11-06,95.05
2020-11-09,99.15
2020-11-10,100.25
2020-11-11,102.2
2020-11-12,103.85
2020-11-13,107.7
2020-11-14,108.25
2020-11-17,107.55
2020-11-18,109.3
2020-11-19,112.55
2020-11-20,111.4
2020-11-23,113.4
2020-11-24,116.05
2020-11-25,114.25
2020-11-26,118.8
