DATES,AL=X0 IS EQUITY
2020-10-27,81.85
2020-10-28,80.3
2020-10-29,80.6
2020-10-30,79.05
2020-11-02,82.05
2020-11-03,84.05
2020-11-04,84.1
2020-11-05,85.8
2020-11-06,85.3
2020-11-09,84.55
2020-11-10,90.9
2020-11-11,89.6
2020-11-12,90.25
2020-11-13,91.1
2020-11-14,91.45
2020-11-17,92.05
2020-11-18,95.5
2020-11-19,94.95
2020-11-20,91.2
2020-11-23,91.5
2020-11-24,91.45
2020-11-25,89.6
2020-11-26,88.85
