DATES,JSP=X0 IS EQUITY
2020-10-27,193.9
2020-10-28,191.1
2020-10-29,190.45
2020-10-30,191.6
2020-11-02,191.3
2020-11-03,202.15
2020-11-04,208.05
2020-11-05,212.65
2020-11-06,212.7
2020-11-09,211.15
2020-11-10,214.05
2020-11-11,219.25
2020-11-12,218.45
2020-11-13,215.35
2020-11-14,215.0
2020-11-17,228.55
2020-11-18,228.2
2020-11-19,234.15
2020-11-20,237.1
2020-11-23,242.5
2020-11-24,241.25
2020-11-25,235.05
2020-11-26,249.6
