DATES,MRF=X0 IS EQUITY
2020-10-27,68057.95
2020-10-28,66730.95
2020-10-29,67282.15
2020-10-30,65382.55
2020-11-02,66087.25
2020-11-03,67515.95
2020-11-04,68598.7
2020-11-05,68705.9
2020-11-06,68688.55
2020-11-09,69933.9
2020-11-10,69555.45
2020-11-11,68680.9
2020-11-12,69427.7
2020-11-13,71854.65
2020-11-14,71747.5
2020-11-17,74260.45
2020-11-18,75040.85
2020-11-19,76606.3
2020-11-20,78744.8
2020-11-23,79323.85
2020-11-24,79148.45
2020-11-25,76385.35
2020-11-26,75824.65
