DATES,ICICI IS 11/26/20 P400 EQUITY
2020-10-27,17.05
2020-10-28,23.05
2020-10-29,21.75
2020-10-30,23.65
2020-11-02,11.45
2020-11-03,6.55
2020-11-04,5.75
2020-11-05,4.35
2020-11-06,3.75
2020-11-09,2.1
2020-11-10,1.6
2020-11-11,1.55
2020-11-12,1.45
2020-11-13,0.95
2020-11-14,0.95
2020-11-17,0.75
2020-11-18,0.5
2020-11-19,0.55
2020-11-20,0.35
2020-11-23,0.3
2020-11-24,0.2
2020-11-25,0.1
2020-11-26,475.3
