DATES,NSEBANK 11/26/20 C29500 INDEX
2020-11-09,134.5
2020-11-10,478.4
2020-11-11,509.45
2020-11-12,270.4
2020-11-13,258.8
2020-11-14,265.45
2020-11-17,399.65
2020-11-18,677.85
2020-11-19,251.05
2020-11-20,333.35
2020-11-23,207.15
2020-11-24,446.05
2020-11-25,114.75
2020-11-26,29549.75
